Title,Publisher,Sales,Released
Pokemon,Nintendo,365.6,28th Sep 98
Super Mario,Nintendo,356.59,20th Jul 83
Grand Theft Auto,ASC Games,310,27th Mar 98
Call of Duty,Activision,300,29th Oct 03
FIFA,EA Sports,282.4,15th Dec 93
Minecraft,Mojang,200,18th Nov 11
The Sims,Electronic Arts,200,04th Feb 00
Tetris,Unknown,171,06th Jun 84
Final Fantasy,Square,152.5,18th Dec 87
Need for Speed,Electronic Arts,150,31st Aug 94
Mario Kart,Nintendo,144.27,01st Sep 92
Assassin's Creed,Ubisoft,140,13th Nov 07
Madden NFL,Electronic Arts,130,01st Jun 88
Wii Sports,Nintendo,115.99,19th Nov 06
The Legend of Zelda,Nintendo,107.07,14th Jul 87
Pro Evolution Soccer,Konami,106.8,22nd Dec 95
Lego,Mindscape,104.3,26th Sep 97
NBA 2K,Sega,102,10th Nov 99
Resident Evil,Capcom,100,30th Mar 96
Wii Sports,Nintendo,82.9,19th Nov 06
Gran Turismo,Sony Computer Entertainment,80.4,12th May 98
Dragon Quest,Square,80,27th May 86
Battlefield,Electronic Arts,78.9,10th Sep 02
Sonic the Hedgehog,Sega,76.64,23rd Jun 91
Tomb Raider,Eidos Interactive,75,14th Nov 96
Halo,Microsoft Game Studios,71,15th Nov 01
Just Dance,Ubisoft,70,17th Nov 09
WWE 2K,THQ,70,02nd Mar 00
Counter-Strike,Valve,65,09th Nov 00
The Oregon Trail,MECC,65,03rd Dec 71
Monster Hunter,Capcom,63,21st Sep 04
Donkey Kong,Nintendo,62.55,31st Jul 81
Super Smash Bros.,Nintendo,60.08,26th Apr 99
PUBG,PUBG Corporation,60,20th Dec 17
The Elder Scrolls,Bethesda Softworks,58.62,25th Mar 94
Borderlands,2K Games,58,20th Oct 09
Dragon Ball,Bandai,57,27th Sep 86
Metal Gear,Konami,55,13th Jul 87
Far Cry,Ubisoft,52.5,23rd Mar 04
Mario Party,Nintendo,51.86,01st Feb 99
Bejeweled,PopCap Games,50,30th May 01
Crash Bandicoot,Sony Computer Entertainment,50,09th Sep 96
Diablo,Blizzard Entertainment,50,03rd Jan 97
Tekken,Namco,49,11th Dec 94
Red Dead,Rockstar Games,48,04th May 04
Animal Crossing,Nintendo,47.73,16th Sep 02
Fallout,Interplay Productions,46.43,10th Oct 97
Mortal Kombat,Midway,46,08th Oct 92
Uncharted,Sony Computer Entertainment,44.25,20th Nov 07
Civilization,Microprose,44,01st Sep 91
Street Fighter,Capcom,44,30th Aug 87
Wii Fit,Nintendo,43.8,21st May 08
Star Wars: Battlefront,LucasArts,43,21st Sep 04
Harry Potter,Electronic Arts,42.7,15th Nov 01
Super Mario Bros.,Nintendo,40.24,18th Oct 85
Counter-Strike: Global Offensive,Valve,40,21st Aug 12
Guitar Hero,Activision,40,08th Nov 05
The Witcher,Atari,40,30th Oct 07
Kirby,Nintendo,39.69,01st Aug 92
Medal of Honor,Electronic Arts,39,31st Oct 99
Mario Kart Wii Read the review,Nintendo,37.32,27th Apr 08
PLAYERUNKNOWN'S BATTLEGROUNDS,PUBG Corporation,36.6,21st Dec 17
Mega Man,Capcom,36,17th Dec 87
Tom Clancy's Rainbow Six,Red Storm Entertainment,36,21st Aug 98
God of War,Sony Computer Entertainment,35.05,22nd Mar 05
NBA Live,EA Sports,35,01st Oct 94
Tom Clancy's Ghost Recon,Ubisoft,35,13th Nov 01
BioShock,2K Games,34,21st Aug 07
Brain Age,Nintendo,33.89,16th Apr 06
Minecraft,Mojang,33.15,10th May 10
Wii Sports Resort Read the review,Nintendo,33.13,26th Jul 09
Half-life,Sierra Studios,33.1,19th Nov 98
Lego Star Wars,Eidos Interactive,33,29th Mar 05
Pokémon Red / Green / Blue Version,Nintendo,31.38,30th Sep 98
Tom Clancy's Splinter Cell,Ubisoft,31,17th Nov 02
Age of Empires,Microsoft,30.82,15th Oct 97
New Super Mario Bros.,Nintendo,30.8,15th May 06
New Super Mario Bros. Wii Read the review,Nintendo,30.3,15th Nov 09
Tetris,Nintendo,30.26,01st Jun 89
Tony Hawk's,Activision,30.12,29th Sep 99
Command & Conquer,Electronic Arts,30,26th Sep 95
Kingdom Hearts,Square,30,17th Sep 02
Terraria,505 Games,30,16th May 11
Wii Play,Nintendo,29.66,12th Feb 07
Nintendogs,Nintendo,28.55,22nd Aug 05
Duck Hunt,Nintendo,28.31,15th Oct 85
Wii Play Read the review,Nintendo,28.02,12th Feb 07
Souls,Atlus,28,06th Oct 09
Total War,Electronic Arts,27.6,13th Jun 00
Portal,Valve,27.03,10th Oct 07
Ratchet & Clank,Sony Computer Entertainment,26,04th Nov 02
Rayman,Ubisoft,26,19th Sep 95
Mario & Sonic at the Olympic Games,Sega,25.67,06th Nov 07
Yoshi,Nintendo,25.35,01st Jun 92
Puyo Puyo,THQ,25,11th Feb 02
Tiger Woods PGA Tour,EA Sports,25,31st Aug 98
Mario Kart 8 Deluxe,Nintendo,24.77,28th Apr 17
Kinect Adventures! Read the review,Microsoft Game Studios,24,04th Nov 10
Nintendogs,Nintendo,23.96,23rd Aug 05
Mario Kart DS,Nintendo,23.6,14th Nov 05
Pokémon Gold / Silver Version,Nintendo,23.1,14th Oct 00
Gears of War,Microsoft Game Studios,23,07th Nov 06
Wii Fit Read the review,Nintendo,22.67,21st May 08
Jikkyo Powerful Pro Yakyu,Konami,22.6,11th Mar 94
Devil May Cry,Capcom,22,16th Oct 01
Castlevania,Konami,21.63,26th Sep 86
Wii Fit Plus,Nintendo,21.13,04th Oct 09
Imagine,Ubisoft,21,01st Oct 07
Super Mario World,Nintendo,20.61,13th Aug 91
Football Manager,Sega,20,05th Nov 04
Frogger,Konami,20,23rd Oct 81
Lemmings,Psygnosis,20,14th Feb 91
Naruto: Ultimate Ninja,Bandai Namco Entertainment,20,26th Jun 06
Prince of Persia,Broderbund,20,03rd Aug 89
Rayman Raving Rabbids,Ubisoft,20,19th Nov 06
SimCity,Maxis,20,02nd Feb 89
SpongeBob SquarePants,THQ,20,15th Mar 01
Spyro,Sony Computer Entertainment,20,10th Sep 98
Tales of,Namco,20,30th Sep 98
The Last of Us,Sony Computer Entertainment,20,14th Jun 13
Tom Clancy's The Division,Ubisoft,20,08th Mar 16
Teenage Mutant Ninja Turtles,Konami,19.1,12th May 89
Brain Age: Train Your Brain in Minutes a Day,Nintendo,19.01,17th Apr 06
Driver,GT Interactive,19,30th Jun 99
Super Smash Bros. Ultimate Read the review,Nintendo,18.84,07th Dec 18
Mario Kart 7,Nintendo,18.71,04th Dec 11
